id,submitdate,lastpage,startlanguage,seed,startdate,datestamp,ipaddr,G01Q30_researcher,G01Q30_code,department,sex,birth,year,order,entrance,entrance_other,locality,attempt,attempt_other,activities_education,activities_research,activities_entertainment,activities_socialnet,activities_busdevelop,activities_shopping,activities_gambling,activities_creativity,activities_other,frequency_friends,frequency_cultural,frequency_tavern,frequency_sports,frequency_museum,frequency_excursion,frequency_cinema,dropout_Aca01,dropout_Aca03,dropout_Aca04,dropout_Pers06,dropout_Pers08,dropout_Pers09,dropout_Inst12,dropout_Inst13,dropout_Inst14,dropout_Soc16,dropout_Soc20,dropout_SocNew,dropout_Eco22,dropout_Eco23,dropout_Eco24,affcomm_ac1,affcomm_ac2,affcomm_ac3,affcomm_ac4,affcomm_ac5,affcomm_ac6,burnout_ex01,burnout_ex03,burnout_ex04,burnout_md09,burnout_md11,burnout_md13,burnout_ci14,burnout_ci17,burnout_ci18,burnout_ei19,burnout_ei20,burnout_ei23,burnout_plc01,burnout_plc02,burnout_plc03,burnout_plc04,burnout_plc05,burnout_psc06,burnout_psc07,burnout_psc08,burnout_psc09,burnout_psc10,engagement_VI1,engagement_VI2,engagement_DE2,engagement_DE3,engagement_VI3,engagement_AB3,engagement_DE4,engagement_AB4,engagement_AB5,iat_TM01,iat_TM02,iat_EC03,iat_EC04,iat_TM05,iat_WN06,iat_WN07,iat_WN08,iat_WN09,iat_EC10,iat_EC11,iat_EC12,iat_EC13,iat_TM14,iat_EC15,iat_TM16,iat_TM17,iat_EC18,iat_EC19,iat_EC20,hads01,hads02,hads03,hads04,hads05,hads06,hads07,hads08,hads09,hads10,hads11,hads12,hads13,hads14,interviewtime,groupTime283,G01Q30Time,departmentTime,sexTime,birthTime,yearTime,orderTime,entranceTime,localityTime,attemptTime,activitiesTime,frequencyTime,groupTime282,dropoutTime,affcommTime,burnoutTime,engagementTime,iatTime,groupTime285,hads01Time,hads02Time,hads03Time,hads04Time,hads05Time,hads06Time,hads07Time,hads08Time,hads09Time,hads10Time,hads11Time,hads12Time,hads13Time,hads14Time,Dropout.irt,Academic.irt,Personal.irt,Institutional.irt,Social.irt,Economical.irt,IAT.irt,EmotionalConflict.irt,TimeManagement.irt,WorkNeglect.irt,Burnout.irt,Exhaustion.irt,MentalDistance.irt,CognitiveImpairment.irt,EmotionalImpairment.irt,Psychologic.irt,Psychosomatic.irt,Engagement.irt,Absorption.irt,Dedication.irt,Vigor.irt,AffeComm.irt,HADS.irt,Anxiety.irt,Depression.irt,Burnout,Exhaustion,MentalDistance,CognitiveImpairment,EmotionalImpairment,PsychologicalComplaints,PsychosomaticComplaints,Engagement,Absorption,Dedication,Vigor,Dropout,Academic,Personal,Institutional,Social,Economical,Anxiety,Depression,IntAdd,EmotionalConflict,TimeManagement,WorkNeglect,IATscore,Salience,ExcUse,Neglect,Anticipation,LackControl,NeglectSL
4,11/14/2023 22:55:00,3,el,337058234,11/14/2023 21:56:49,11/14/2023 22:55:00,85.75.98.0,Α,1,phys,1,2005,1,1,1,#N/A,N,1,#N/A,1,#N/A,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,5,4,2,5,2,2,1,7,6,4,1,4,4,6,2,5,4,1,6,2,4,3,SQ004,SQ006,SQ004,SQ005,SQ001,SQ005,3,1,2,3,2,1,5,5,5,1,2,1,1,4,4,1,1,1,1,1,1,1,4,4,2,3,1,5,5,1,4,1,1,0,1,2,0,0,0,0,3,1,0,0,4,0,2,0,1,0,0,A1,D3,D0,A2,A2,D1,D0,A2,A2,D2,D4,A1,A1,D0,"3491,03","579,81",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"2448,73",#N/A,#N/A,#N/A,#N/A,#N/A,"462,49",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"58,6",22,88,40,43,100,"30,3333333333333",45,32,14,"59,5",11,68,100,59,37,29,"59,3333333333333",59,22,97,75,"67,5",72,63,"2,58333333333333",2,2,5,"1,33333333333333","2,2",1,"3,22222222222222","3,33333333333333","3,33333333333333",3,"3,66666666666667","2,33333333333333",3,"3,66666666666667","4,33333333333333",5,"1,57142857142857","1,28571428571429","0,8","0,6","1,66666666666667",0,"0,8","0,6","1,4",0,"0,5","1,33333333333333","0,5"
7,11/15/2023 9:47:16,3,el,710343617,11/15/2023 9:20:23,11/15/2023 9:47:16,94.66.119.0,Α,2,phys,1,#N/A,1,1,1,#N/A,N,1,#N/A,1,1,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,2,1,3,3,1,2,1,5,2,6,2,1,5,5,2,5,2,2,6,6,3,3,SQ004,SQ003,SQ006,SQ004,SQ006,SQ003,3,2,2,3,2,3,3,2,3,2,2,1,1,2,1,1,3,1,1,1,1,2,1,1,3,2,3,4,4,2,2,4,2,2,2,3,4,3,4,0,2,3,4,1,2,1,4,3,2,2,1,A0,D1,D1,A0,A0,D1,D1,A0,A1,D1,D2,A0,A0,D0,"1580,02","400,85",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"754,88",#N/A,#N/A,#N/A,#N/A,#N/A,"424,29",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"69,4",71,56,49,83,88,76,84,72,72,"52,25",24,82,35,68,1,32,"11,6666666666667",18,16,1,90,"42,5",13,72,"2,33333333333333","2,33333333333333","2,66666666666667","2,66666666666667","1,66666666666667","1,6","1,2","2,44444444444444","2,66666666666667",3,"1,66666666666667","3,66666666666667","3,66666666666667",2,4,"4,66666666666667",4,"0,142857142857143","0,857142857142857","2,45",2,3,"2,75","2,45",2,"2,2","2,66666666666667",3,"3,33333333333333",2
8,11/15/2023 10:08:24,3,el,1209756754,11/15/2023 9:48:12,11/15/2023 10:08:24,94.66.119.0,Α,3,phys,1,2001,2,1,1,#N/A,N,2,#N/A,#N/A,1,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,3,5,1,1,1,6,5,6,4,1,6,7,7,4,3,2,4,5,6,4,SQ006,SQ003,SQ005,SQ004,SQ002,SQ004,3,2,2,2,1,1,1,1,2,2,2,1,3,3,3,1,2,1,1,2,1,1,2,2,4,4,4,6,6,3,3,3,1,1,1,1,0,1,1,#N/A,1,0,1,1,2,2,1,1,1,2,2,A1,D1,D1,A0,A0,D1,D1,A1,A2,D2,D1,A1,A2,D2,"1208,95","222,53",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"601,53",#N/A,#N/A,#N/A,#N/A,#N/A,"384,89",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,47,29,70,8,57,71,"39,6666666666667",66,27,26,"30,25",24,28,1,68,22,34,"65,3333333333333",67,85,44,34,74,59,89,"1,66666666666667","2,33333333333333","1,33333333333333","1,33333333333333","1,66666666666667","2,4","1,2","3,77777777777778",4,"4,66666666666667","2,66666666666667","2,93333333333333","2,33333333333333","2,33333333333333",2,5,3,"1,14285714285714","1,14285714285714","1,21052631578947","1,2","1,5","0,666666666666667","1,21052631578947","1,4","1,8","0,5","0,5",1,1
9,11/15/2023 10:28:43,3,el,1105387430,11/15/2023 10:11:13,11/15/2023 10:28:43,94.66.119.0,Α,4,phys,1,2004,2,2,1,#N/A,N,1,#N/A,#N/A,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,1,3,5,1,2,2,6,5,6,1,1,2,6,6,3,1,1,3,4,5,5,SQ005,SQ001,SQ002,SQ003,SQ004,SQ003,1,3,2,5,2,3,5,4,4,2,3,2,4,4,2,1,4,2,3,1,1,4,3,2,3,4,2,2,4,2,3,4,3,2,3,4,3,1,4,4,4,4,4,3,2,4,4,2,4,4,2,A1,D2,D1,A0,A1,D1,D1,A2,A1,D1,D4,A0,A1,D2,"1047,25","180,87",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"587,35",#N/A,#N/A,#N/A,#N/A,#N/A,"279,03",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,61,29,67,30,97,82,"85,6666666666667",98,74,85,"77,5",18,97,99,96,32,60,"37,6666666666667",23,47,43,28,"58,5",46,71,3,2,"3,33333333333333","4,33333333333333","2,33333333333333",3,"2,2","2,77777777777778","2,33333333333333","3,66666666666667","2,33333333333333","3,53333333333333","2,33333333333333","2,66666666666667",3,"6,33333333333333","3,33333333333333",1,"1,57142857142857","3,25","3,4","3,16666666666667",3,"3,25","3,8",3,"3,66666666666667","2,5","3,33333333333333","2,5"
10,11/15/2023 10:55:06,3,el,64436020,11/15/2023 10:29:47,11/15/2023 10:55:06,94.66.119.0,Α,5,phys,2,2004,2,1,1,#N/A,N,1,#N/A,#N/A,#N/A,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,4,3,3,4,3,3,3,3,3,4,5,6,4,3,1,1,1,1,6,4,3,3,SQ002,SQ006,SQ007,SQ006,SQ007,SQ005,4,4,3,3,3,4,4,4,5,4,3,2,4,5,5,5,5,4,5,4,3,4,1,1,3,3,1,0,3,1,5,4,2,0,0,3,1,0,2,1,3,2,1,0,2,0,5,1,3,1,1,A3,D2,D2,A2,A2,D1,D2,A3,A2,D2,D3,A3,A2,D1,"1514,43","183,77",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"962,57",#N/A,#N/A,#N/A,#N/A,#N/A,"368,09",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,96,89,100,96,97,98,55,60,68,37,"96,5",90,99,98,99,98,97,"20,3333333333333",39,22,0,99,"93,5",95,92,"3,58333333333333","3,66666666666667","3,33333333333333","4,33333333333333",3,"4,8",4,2,2,3,1,"5,2","4,66666666666667",5,"6,33333333333333","5,33333333333333","4,66666666666667","2,28571428571429","1,71428571428571","1,6","1,1","2,83333333333333",1,"1,6",1,"2,4","1,33333333333333",1,3,0
11,11/15/2023 12:46:57,3,el,249832650,11/15/2023 12:23:39,11/15/2023 12:46:57,94.66.119.0,Α,6,phys,1,#N/A,2,1,1,#N/A,N,2,#N/A,#N/A,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5,2,4,5,2,2,1,7,2,6,1,1,6,6,6,4,5,#N/A,6,5,3,4,SQ007,SQ007,SQ007,SQ004,SQ007,SQ007,5,2,3,2,4,4,4,3,5,5,2,5,5,5,2,1,5,2,2,2,2,2,4,3,5,4,0,6,6,2,4,5,0,0,2,2,1,3,3,1,2,0,0,0,0,0,0,0,0,0,0,A0,D1,D1,A3,A2,D3,D3,A3,A2,D0,D4,A3,A1,D2,"1395,39","134,38",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"867,23",#N/A,#N/A,#N/A,#N/A,#N/A,"393,78",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"38,2",47,36,18,0,90,"38,6666666666667",39,19,58,92,73,100,95,100,56,58,"81,3333333333333",77,95,72,88,78,73,83,"3,66666666666667","3,33333333333333","3,33333333333333",4,4,"3,6",2,"3,77777777777778",4,5,"2,33333333333333","2,71428571428571",3,"1,33333333333333","2,66666666666667","2,5",4,"1,71428571428571","1,85714285714286","0,95","0,4","1,16666666666667",2,"0,95","0,4",1,"1,66666666666667","1,5","0,666666666666667",1
12,11/15/2023 13:26:45,3,el,1430114563,11/15/2023 12:49:40,11/15/2023 13:26:45,94.66.119.0,Α,7,phys,1,2003,2,1,1,#N/A,N,2,#N/A,1,1,1,1,#N/A,1,#N/A,1,#N/A,2,2,3,2,1,2,3,7,4,6,5,4,3,5,7,6,1,1,2,7,7,4,SQ005,SQ003,SQ004,SQ005,SQ005,SQ005,4,4,3,4,3,3,3,5,4,2,3,1,1,5,5,4,1,1,1,2,3,1,1,1,2,3,0,1,6,2,3,4,4,0,4,5,3,5,4,2,2,3,1,0,2,2,4,4,2,3,0,A1,D2,D1,A1,A3,D0,D2,A2,A3,D1,D4,A1,A1,D1,"1202,42","148,25",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"832,52",#N/A,#N/A,#N/A,#N/A,#N/A,"221,65",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,51,28,99,5,97,26,83,76,87,86,94,90,99,97,90,91,45,"15,6666666666667",16,31,0,76,76,80,72,"3,25","3,66666666666667","3,33333333333333",4,2,"3,2","1,6","2,11111111111111",2,"3,66666666666667","0,666666666666667","3,53333333333333","2,33333333333333","4,66666666666667",2,"6,66666666666667",2,"1,71428571428571","1,42857142857143","2,7","1,7","3,83333333333333","3,5","2,7","1,6","2,4",3,4,"4,33333333333333",2
13,11/15/2023 13:43:51,3,el,339046709,11/15/2023 13:28:57,11/15/2023 13:43:51,94.66.119.0,Α,8,phys,1,#N/A,2,2,1,#N/A,N,1,#N/A,1,1,1,1,#N/A,1,1,#N/A,1,4,4,3,5,4,4,2,5,2,2,3,2,5,1,4,3,4,1,6,5,4,4,SQ005,SQ007,SQ006,SQ005,SQ005,SQ006,5,4,4,4,3,3,4,5,4,3,2,3,4,4,5,4,3,2,4,2,5,3,1,2,4,2,3,3,4,4,4,5,4,1,1,4,4,4,2,1,4,3,1,0,3,1,4,4,0,1,4,A1,D2,D1,A1,A1,D2,D1,A1,A2,D1,D1,A2,A3,D3,"890,66","161,41",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"486,37",#N/A,#N/A,#N/A,#N/A,#N/A,"242,88",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"76,4",89,79,86,43,85,78,77,89,68,"97,5",98,99,99,94,94,88,"39,3333333333333",74,32,12,85,88,85,91,"3,66666666666667","4,33333333333333","3,33333333333333","4,33333333333333","2,66666666666667",4,"3,2",3,"3,66666666666667","3,33333333333333",2,"4,2",5,"2,66666666666667","5,33333333333333","4,33333333333333","3,66666666666667","1,71428571428571","1,42857142857143","2,55","1,6",4,"2,75","2,55","1,4","3,2","2,33333333333333","3,5",4,1
14,11/15/2023 15:20:40,3,el,1428554191,11/15/2023 15:07:11,11/15/2023 15:20:40,85.75.98.0,Α,9,phys,1,2003,2,1,1,#N/A,N,2,#N/A,#N/A,#N/A,1,1,1,#N/A,#N/A,#N/A,#N/A,3,2,4,5,2,3,3,4,5,3,5,2,4,2,2,2,5,5,5,6,6,6,SQ004,SQ002,SQ004,SQ003,SQ005,SQ006,2,2,2,2,2,2,4,3,2,3,3,3,4,2,2,1,4,1,1,1,1,1,4,4,4,4,1,5,5,2,4,4,4,1,2,3,1,1,4,1,1,3,0,1,4,2,4,3,0,1,0,A0,D1,D1,A0,A1,D0,D0,A0,A0,D0,D4,A0,A1,D2,"806,33","171,75",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"445,25",#N/A,#N/A,#N/A,#N/A,#N/A,"189,33",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"57,2",71,93,94,1,27,68,62,84,58,61,14,59,72,99,11,29,"81,3333333333333",70,77,97,46,30,23,37,"2,5",2,2,3,3,"2,6",1,"3,66666666666667","3,66666666666667","4,33333333333333",3,"3,73333333333333",4,"3,66666666666667",6,3,2,"0,428571428571429",1,2,"1,1","3,66666666666667","1,75",2,1,"2,4",2,2,"3,33333333333333","1,5"
15,11/15/2023 15:34:34,3,el,2113572593,11/15/2023 15:22:03,11/15/2023 15:34:34,85.75.98.0,Α,10,phys,1,2004,2,1,1,#N/A,N,1,#N/A,1,#N/A,1,1,#N/A,#N/A,#N/A,#N/A,1,2,4,1,5,2,5,3,5,6,6,3,1,5,7,5,5,3,3,4,5,5,5,SQ007,SQ007,SQ003,SQ002,SQ001,SQ007,2,2,2,1,1,3,2,2,3,1,1,2,5,4,3,3,1,1,1,1,2,2,2,3,5,4,4,3,2,3,4,3,3,1,2,1,4,4,1,1,2,1,3,3,2,2,1,3,1,0,0,A1,D2,D1,A1,A2,D0,D0,A0,A2,D1,D2,A1,A1,D2,"748,81","162,88",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"421,49",#N/A,#N/A,#N/A,#N/A,#N/A,"164,44",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"43,4",30,67,10,42,68,"59,3333333333333",72,45,61,"25,75",14,27,15,47,68,37,68,64,67,73,9,64,58,70,"1,83333333333333",2,"1,66666666666667","2,33333333333333","1,33333333333333","3,2","1,4","3,33333333333333","3,33333333333333","3,66666666666667",3,"2,93333333333333","2,33333333333333","2,33333333333333","2,33333333333333","4,66666666666667",3,"1,14285714285714",1,"1,9","1,5","2,16666666666667","2,5","1,9",2,"1,8",2,"2,5","1,66666666666667","1,5"
