"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","ipaddr","G01Q30_researcher","G01Q30_code","department","sex","birth","year","order","entrance","entrance_other","locality","attempt","attempt_other","activities_education","activities_research","activities_entertainment","activities_socialnet","activities_busdevelop","activities_shopping","activities_gambling","activities_creativity","activities_other","frequency_friends","frequency_cultural","frequency_tavern","frequency_sports","frequency_museum","frequency_excursion","frequency_cinema","dropout_Aca01","dropout_Aca03","dropout_Aca04","dropout_Pers06","dropout_Pers08","dropout_Pers09","dropout_Inst12","dropout_Inst13","dropout_Inst14","dropout_Soc16","dropout_Soc20","dropout_SocNew","dropout_Eco22","dropout_Eco23","dropout_Eco24","affcomm_ac1","affcomm_ac2","affcomm_ac3","affcomm_ac4","affcomm_ac5","affcomm_ac6","burnout_ex01","burnout_ex03","burnout_ex04","burnout_md09","burnout_md11","burnout_md13","burnout_ci14","burnout_ci17","burnout_ci18","burnout_ei19","burnout_ei20","burnout_ei23","burnout_plc01","burnout_plc02","burnout_plc03","burnout_plc04","burnout_plc05","burnout_psc06","burnout_psc07","burnout_psc08","burnout_psc09","burnout_psc10","engagement_VI1","engagement_VI2","engagement_DE2","engagement_DE3","engagement_VI3","engagement_AB3","engagement_DE4","engagement_AB4","engagement_AB5","iat_TM01","iat_TM02","iat_EC03","iat_EC04","iat_TM05","iat_WN06","iat_WN07","iat_WN08","iat_WN09","iat_EC10","iat_EC11","iat_EC12","iat_EC13","iat_TM14","iat_EC15","iat_TM16","iat_TM17","iat_EC18","iat_EC19","iat_EC20","hads01","hads02","hads03","hads04","hads05","hads06","hads07","hads08","hads09","hads10","hads11","hads12","hads13","hads14","interviewtime","groupTime283","G01Q30Time","departmentTime","sexTime","birthTime","yearTime","orderTime","entranceTime","localityTime","attemptTime","activitiesTime","frequencyTime","groupTime282","dropoutTime","affcommTime","burnoutTime","engagementTime","iatTime","groupTime285","hads01Time","hads02Time","hads03Time","hads04Time","hads05Time","hads06Time","hads07Time","hads08Time","hads09Time","hads10Time","hads11Time","hads12Time","hads13Time","hads14Time","lca_class","cluster.x","student_profile","cluster.y","cluster"
4,2023-11-14 22:55:00,3,"el",337058234,2023-11-14 21:56:49,2023-11-14 22:55:00,"85.75.98.0","Α",1,"phys",1,2005,1,1,1,NA,"N","1",NA,1,NA,1,1,NA,NA,NA,NA,NA,5,4,2,5,2,2,1,7,6,4,1,4,4,6,2,5,4,1,6,2,4,3,"SQ004","SQ006","SQ004","SQ005","SQ001","SQ005",3,1,2,3,2,1,5,5,5,1,2,1,1,4,4,1,1,1,1,1,1,1,4,4,2,3,1,5,5,1,4,1,1,0,1,2,0,0,0,0,3,1,0,0,4,0,2,0,1,0,0,"A1","D3","D0","A2","A2","D1","D0","A2","A2","D2","D4","A1","A1","D0",3491.03,579.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2448.73,NA,NA,NA,NA,NA,462.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"3","Balanced_Learners","3","3"
7,2023-11-15 09:47:16,3,"el",710343617,2023-11-15 09:20:23,2023-11-15 09:47:16,"94.66.119.0","Α",2,"phys",1,NA,1,1,1,NA,"N","1",NA,1,1,1,1,NA,NA,NA,NA,NA,2,1,3,3,1,2,1,5,2,6,2,1,5,5,2,5,2,2,6,6,3,3,"SQ004","SQ003","SQ006","SQ004","SQ006","SQ003",3,2,2,3,2,3,3,2,3,2,2,1,1,2,1,1,3,1,1,1,1,2,1,1,3,2,3,4,4,2,2,4,2,2,2,3,4,3,4,0,2,3,4,1,2,1,4,3,2,2,1,"A0","D1","D1","A0","A0","D1","D1","A0","A1","D1","D2","A0","A0","D0",1580.02,400.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754.88,NA,NA,NA,NA,NA,424.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"3","Balanced_Learners","3","3"
8,2023-11-15 10:08:24,3,"el",1209756754,2023-11-15 09:48:12,2023-11-15 10:08:24,"94.66.119.0","Α",3,"phys",1,2001,2,1,1,NA,"N","2",NA,NA,1,1,1,NA,NA,NA,NA,NA,1,1,3,5,1,1,1,6,5,6,4,1,6,7,7,4,3,2,4,5,6,4,"SQ006","SQ003","SQ005","SQ004","SQ002","SQ004",3,2,2,2,1,1,1,1,2,2,2,1,3,3,3,1,2,1,1,2,1,1,2,2,4,4,4,6,6,3,3,3,1,1,1,1,0,1,1,NA,1,0,1,1,2,2,1,1,1,2,2,"A1","D1","D1","A0","A0","D1","D1","A1","A2","D2","D1","A1","A2","D2",1208.95,222.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,601.53,NA,NA,NA,NA,NA,384.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"1","Socially_Active_Students","1","1"
9,2023-11-15 10:28:43,3,"el",1105387430,2023-11-15 10:11:13,2023-11-15 10:28:43,"94.66.119.0","Α",4,"phys",1,2004,2,2,1,NA,"N","1",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,1,3,5,1,2,2,6,5,6,1,1,2,6,6,3,1,1,3,4,5,5,"SQ005","SQ001","SQ002","SQ003","SQ004","SQ003",1,3,2,5,2,3,5,4,4,2,3,2,4,4,2,1,4,2,3,1,1,4,3,2,3,4,2,2,4,2,3,4,3,2,3,4,3,1,4,4,4,4,4,3,2,4,4,2,4,4,2,"A1","D2","D1","A0","A1","D1","D1","A2","A1","D1","D4","A0","A1","D2",1047.25,180.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,587.35,NA,NA,NA,NA,NA,279.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"1","Socially_Active_Students","1","1"
10,2023-11-15 10:55:06,3,"el",64436020,2023-11-15 10:29:47,2023-11-15 10:55:06,"94.66.119.0","Α",5,"phys",2,2004,2,1,1,NA,"N","1",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,3,3,4,3,3,3,3,3,4,5,6,4,3,1,1,1,1,6,4,3,3,"SQ002","SQ006","SQ007","SQ006","SQ007","SQ005",4,4,3,3,3,4,4,4,5,4,3,2,4,5,5,5,5,4,5,4,3,4,1,1,3,3,1,0,3,1,5,4,2,0,0,3,1,0,2,1,3,2,1,0,2,0,5,1,3,1,1,"A3","D2","D2","A2","A2","D1","D2","A3","A2","D2","D3","A3","A2","D1",1514.43,183.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,962.57,NA,NA,NA,NA,NA,368.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"1","Socially_Active_Students","1","1"
11,2023-11-15 12:46:57,3,"el",249832650,2023-11-15 12:23:39,2023-11-15 12:46:57,"94.66.119.0","Α",6,"phys",1,NA,2,1,1,NA,"N","2",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,5,2,4,5,2,2,1,7,2,6,1,1,6,6,6,4,5,NA,6,5,3,4,"SQ007","SQ007","SQ007","SQ004","SQ007","SQ007",5,2,3,2,4,4,4,3,5,5,2,5,5,5,2,1,5,2,2,2,2,2,4,3,5,4,0,6,6,2,4,5,0,0,2,2,1,3,3,1,2,0,0,0,0,0,0,0,0,0,0,"A0","D1","D1","A3","A2","D3","D3","A3","A2","D0","D4","A3","A1","D2",1395.39,134.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,867.23,NA,NA,NA,NA,NA,393.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"1","Socially_Active_Students","1","1"
12,2023-11-15 13:26:45,3,"el",1430114563,2023-11-15 12:49:40,2023-11-15 13:26:45,"94.66.119.0","Α",7,"phys",1,2003,2,1,1,NA,"N","2",NA,1,1,1,1,NA,1,NA,1,NA,2,2,3,2,1,2,3,7,4,6,5,4,3,5,7,6,1,1,2,7,7,4,"SQ005","SQ003","SQ004","SQ005","SQ005","SQ005",4,4,3,4,3,3,3,5,4,2,3,1,1,5,5,4,1,1,1,2,3,1,1,1,2,3,0,1,6,2,3,4,4,0,4,5,3,5,4,2,2,3,1,0,2,2,4,4,2,3,0,"A1","D2","D1","A1","A3","D0","D2","A2","A3","D1","D4","A1","A1","D1",1202.42,148.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,832.52,NA,NA,NA,NA,NA,221.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"3","Balanced_Learners","3","3"
13,2023-11-15 13:43:51,3,"el",339046709,2023-11-15 13:28:57,2023-11-15 13:43:51,"94.66.119.0","Α",8,"phys",1,NA,2,2,1,NA,"N","1",NA,1,1,1,1,NA,1,1,NA,1,4,4,3,5,4,4,2,5,2,2,3,2,5,1,4,3,4,1,6,5,4,4,"SQ005","SQ007","SQ006","SQ005","SQ005","SQ006",5,4,4,4,3,3,4,5,4,3,2,3,4,4,5,4,3,2,4,2,5,3,1,2,4,2,3,3,4,4,4,5,4,1,1,4,4,4,2,1,4,3,1,0,3,1,4,4,0,1,4,"A1","D2","D1","A1","A1","D2","D1","A1","A2","D1","D1","A2","A3","D3",890.66,161.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,486.37,NA,NA,NA,NA,NA,242.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"4","Socially_Engaged_Learners","4","4"
14,2023-11-15 15:20:40,3,"el",1428554191,2023-11-15 15:07:11,2023-11-15 15:20:40,"85.75.98.0","Α",9,"phys",1,2003,2,1,1,NA,"N","2",NA,NA,NA,1,1,1,NA,NA,NA,NA,3,2,4,5,2,3,3,4,5,3,5,2,4,2,2,2,5,5,5,6,6,6,"SQ004","SQ002","SQ004","SQ003","SQ005","SQ006",2,2,2,2,2,2,4,3,2,3,3,3,4,2,2,1,4,1,1,1,1,1,4,4,4,4,1,5,5,2,4,4,4,1,2,3,1,1,4,1,1,3,0,1,4,2,4,3,0,1,0,"A0","D1","D1","A0","A1","D0","D0","A0","A0","D0","D4","A0","A1","D2",806.33,171.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,445.25,NA,NA,NA,NA,NA,189.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"1","Socially_Active_Students","1","1"
15,2023-11-15 15:34:34,3,"el",2113572593,2023-11-15 15:22:03,2023-11-15 15:34:34,"85.75.98.0","Α",10,"phys",1,2004,2,1,1,NA,"N","1",NA,1,NA,1,1,NA,NA,NA,NA,1,2,4,1,5,2,5,3,5,6,6,3,1,5,7,5,5,3,3,4,5,5,5,"SQ007","SQ007","SQ003","SQ002","SQ001","SQ007",2,2,2,1,1,3,2,2,3,1,1,2,5,4,3,3,1,1,1,1,2,2,2,3,5,4,4,3,2,3,4,3,3,1,2,1,4,4,1,1,2,1,3,3,2,2,1,3,1,0,0,"A1","D2","D1","A1","A2","D0","D0","A0","A2","D1","D2","A1","A1","D2",748.81,162.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,421.49,NA,NA,NA,NA,NA,164.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"3","Balanced_Learners","3","3"
